Average of Ratings,Average Number of Reviews,Total Number of Reviews,Total Returned,Data License
4.2,376.0,752,2,149.0
3.97,167.67,1509,9,164.0
4.5,909.0,909,1,257.0
4.3,264.0,528,2,404.0
4.8,364.0,364,1,429.0
4.4,441.0,882,2,491.0
2.67,48.67,146,3,691.0
4.0,73.0,73,1,692.0
4.5,109.0,218,2,783.0
4.4,196.0,392,2,800.0
4.3,1257.0,1257,1,853.0
4.25,537.0,1074,2,990.0
4.8,26.0,52,2,1043.0
4.5,131.0,262,2,1050.0
3.6,11.0,22,2,1052.0
4.4,19.0,19,1,1060.0
4.1,790.0,790,1,1094.0
4.2,437.0,437,1,1168.0
4.3,619.0,1238,2,1196.0
4.2,35.0,35,1,1206.0
4.4,242.0,242,1,1212.0
4.3,736.0,736,1,1219.0
4.2,58.0,116,2,1237.0
4.4,450.0,450,1,1254.0
4.1,258.38,2067,8,1311.0
4.1,258.38,2067,8,1315.0
4.0,30.0,30,1,1387.0
4.3,378.0,378,1,1425.0
3.7,78.0,156,2,1434.0
4.4,325.0,975,3,1470.0
3.6,472.0,944,2,1542.0
4.7,280.0,280,1,1599.0
4.7,2311.0,2311,1,1650.0
4.05,8.0,16,2,1699.0
4.1,674.0,1348,2,1726.0
4.3,1486.0,1486,1,1732.0
4.0,21.0,21,1,1745.0
4.5,482.0,482,1,1794.0
4.4,459.75,1839,4,1800.0
4.0,1364.0,1364,1,1804.0
4.5,195.0,195,1,1806.0
4.4,453.0,453,1,1869.0
4.1,115.0,115,1,1918.0
1.75,31.5,126,4,1922.0
4.4,2509.0,5018,2,1925.0
4.3,103.0,103,1,1932.0
3.52,14.25,114,8,1937.0
4.6,143.0,286,2,1955.0
4.0,28.0,28,1,1976.0
4.55,497.5,2985,6,2003.0
4.1,14.0,28,2,2035.0
3.9,36.0,108,3,2063.0
3.2,97.0,97,1,2086.0
4.7,160.0,320,2,2115.0
4.3,4.0,4,1,2131.0
2.2,35.0,70,2,2132.0
4.6,98.0,98,1,2535.0
4.7,89.0,89,1,2760.0
4.2,493.0,493,1,2767.0
4.7,9.5,19,2,2897.0
4.23,1543.0,4629,3,3070.0
4.3,157.2,786,5,3525.0
4.5,885.0,885,1,3532.0
4.6,714.0,1428,2,3543.0
4.4,180.0,180,1,3595.0
4.4,1485.0,1485,1,3642.0
4.5,53.0,106,2,3643.0
4.2,58.0,58,1,3644.0
4.7,203.0,406,2,3732.0
4.6,48.0,48,1,3755.0
4.4,661.0,661,1,3769.0
4.7,668.0,668,1,3775.0
4.6,82.0,82,1,3791.0
4.6,287.0,287,1,3799.0
4.4,541.0,541,1,3803.0
4.6,284.0,284,1,3846.0
4.6,675.0,675,1,3847.0
4.0,269.0,269,1,3866.0
4.1,153.0,153,1,3892.0
3.54,332.6,1663,5,3914.0
4.5,249.5,998,4,3923.0
4.1,9.0,18,2,3933.0
4.6,507.0,507,1,3941.0
4.3,239.0,239,1,3953.0
4.6,86.0,172,2,4169.0
4.2,1045.0,2090,2,4190.0
4.0,20.0,20,1,4429.0
4.0,49.0,49,1,4851.0
4.2,420.0,840,2,4908.0
4.7,796.0,796,1,4941.0
4.13,276.33,829,3,4978.0
4.1,226.0,226,1,5108.0
3.54,332.6,1663,5,5236.0
4.9,12.0,12,1,5697.0
4.0,846.5,1693,2,6054.0
4.5,170.0,340,2,6120.0
4.1,472.0,944,2,6231.0
4.3,20.0,20,1,6275.0
4.4,158.0,474,3,6277.0
4.2,67.0,67,1,6282.0
4.6,27.0,27,1,6292.0
3.9,32.0,64,2,6355.0
4.4,452.0,2712,6,6394.0
4.5,2.0,2,1,6429.0
4.4,688.0,688,1,6475.0
4.23,1543.0,4629,3,6476.0
4.3,527.0,1054,2,6503.0
4.7,1891.5,3783,2,6507.0
4.6,227.0,227,1,6509.0
4.3,85.0,85,1,6539.0
4.6,75.0,150,2,6541.0
4.3,58.0,116,2,6753.0
4.3,50.0,50,1,6834.0
3.6,34.0,68,2,6876.0
0.0,0.0,0,3,7004.0
4.5,268.0,268,1,7025.0
