Average_of_Ratings,Average_Number_of_Reviews,Total_Number_of_Reviews,Total_Returned,Data_License
4.2,376,752,2,149
3.97,167.67,1509,9,164
4.5,909,909,1,257
4.3,264,528,2,404
4.8,364,364,1,429
4.4,441,882,2,491
2.67,48.67,146,3,691
4,73,73,1,692
4.5,109,218,2,783
4.4,196,392,2,800
4.3,1257,1257,1,853
4.25,537,1074,2,990
4.8,26,52,2,1043
4.5,131,262,2,1050
3.6,11,22,2,1052
4.4,19,19,1,1060
4.1,790,790,1,1094
4.2,437,437,1,1168
4.3,619,1238,2,1196
4.2,35,35,1,1206
4.4,242,242,1,1212
4.3,736,736,1,1219
4.2,58,116,2,1237
4.4,450,450,1,1254
4.1,258.38,2067,8,1311
4.1,258.38,2067,8,1315
4,30,30,1,1387
4.3,378,378,1,1425
3.7,78,156,2,1434
4.4,325,975,3,1470
3.6,472,944,2,1542
4.7,280,280,1,1599
4.7,2311,2311,1,1650
4.05,8,16,2,1699
4.1,674,1348,2,1726
4.3,1486,1486,1,1732
4,21,21,1,1745
4.5,482,482,1,1794
4.4,459.75,1839,4,1800
4,1364,1364,1,1804
4.5,195,195,1,1806
4.4,453,453,1,1869
4.1,115,115,1,1918
1.75,31.5,126,4,1922
4.4,2509,5018,2,1925
4.3,103,103,1,1932
3.52,14.25,114,8,1937
4.6,143,286,2,1955
4,28,28,1,1976
4.55,497.5,2985,6,2003
4.1,14,28,2,2035
3.9,36,108,3,2063
3.2,97,97,1,2086
4.7,160,320,2,2115
4.3,4,4,1,2131
2.2,35,70,2,2132
4.6,98,98,1,2535
4.7,89,89,1,2760
4.2,493,493,1,2767
4.7,9.5,19,2,2897
4.23,1543,4629,3,3070
4.3,157.2,786,5,3525
4.5,885,885,1,3532
4.6,714,1428,2,3543
4.4,180,180,1,3595
4.4,1485,1485,1,3642
4.5,53,106,2,3643
4.2,58,58,1,3644
4.7,203,406,2,3732
4.6,48,48,1,3755
4.4,661,661,1,3769
4.7,668,668,1,3775
4.6,82,82,1,3791
4.6,287,287,1,3799
4.4,541,541,1,3803
4.6,284,284,1,3846
4.6,675,675,1,3847
4,269,269,1,3866
4.1,153,153,1,3892
3.54,332.6,1663,5,3914
4.5,249.5,998,4,3923
4.1,9,18,2,3933
4.6,507,507,1,3941
4.3,239,239,1,3953
4.6,86,172,2,4169
4.2,1045,2090,2,4190
4,20,20,1,4429
4,49,49,1,4851
4.2,420,840,2,4908
4.7,796,796,1,4941
4.13,276.33,829,3,4978
4.1,226,226,1,5108
3.54,332.6,1663,5,5236
4.9,12,12,1,5697
4,846.5,1693,2,6054
4.5,170,340,2,6120
4.1,472,944,2,6231
4.3,20,20,1,6275
4.4,158,474,3,6277
4.2,67,67,1,6282
4.6,27,27,1,6292
3.9,32,64,2,6355
4.4,452,2712,6,6394
4.5,2,2,1,6429
4.4,688,688,1,6475
4.23,1543,4629,3,6476
4.3,527,1054,2,6503
4.7,1891.5,3783,2,6507
4.6,227,227,1,6509
4.3,85,85,1,6539
4.6,75,150,2,6541
4.3,58,116,2,6753
4.3,50,50,1,6834
3.6,34,68,2,6876
0,0,0,3,7004
4.5,268,268,1,7025
3.6,310,620,2,7053
4.4,263,526,2,7098
4.3,217,868,4,7214
4.4,448.5,897,2,7252
4.2,531,531,1,7507
4.1,108.67,652,6,7778
4.9,89,89,1,7979
4.6,1067,1067,1,8014
4.5,436,436,1,8055
4.7,119,238,2,8221
4.4,59,59,1,8238
4.7,29,29,1,8289
4.45,100,400,4,8397
3.9,260,260,1,8475
4.1,36,36,1,8550
3.84,178,1246,7,8601
3.84,178,1246,7,8602
4,89.5,179,2,8833
4.35,242.5,485,2,8987
4.1,250,250,1,9051
4.4,240,240,1,9344
4.6,71,71,1,9498
4.2,470,470,1,9567
4.2,345.5,691,2,9821
4.7,105,105,1,10229
4.3,226,226,1,10235
3.9,62,62,1,10306
4.3,189,189,1,10399
4.3,272,272,1,10559
4.3,191,382,2,10764
4.53,679.57,4757,7,10916
4.2,21,21,1,10923
4.07,668.67,4012,6,10940
4.1,756.75,6054,8,10949
4.3,293,293,1,11030
4.3,293,293,1,11034
3.8,548,548,1,11180
4.1,22,44,2,11254
4.6,17,34,2,11453
4.6,13,13,1,11562
4.7,190,190,1,11735
4.75,103,206,2,11738
4.7,21,21,1,11854
4.5,64,128,2,11900
4.5,507.5,1015,2,12026
4.1,123,123,1,12125
3.5,170,680,4,12280
4.4,139,139,1,12296
3.9,294,588,2,12380
4.4,493,986,2,12475
4.07,481.67,1445,3,12502
4.4,612,1224,2,12532
4.4,439,439,1,12540
4.1,221,221,1,12575
4.4,447,447,1,12587
4.5,450,450,1,12673
4.4,211.33,1902,9,12687
4.6,524,524,1,12690
2,15,30,2,12766
4.5,228,228,1,13058
4.1,161,161,1,13159
3.7,445,445,1,13388
1.5,1,2,2,13440
2.2,6,6,1,13681
3.5,179,179,1,13712
4.2,113,452,4,13820
4,288,288,1,14134
4.1,914,914,1,14380
4.2,87,87,1,14591
4.6,8947,8947,1,14616
3.5,474,948,2,14622
4.6,678,678,1,14627
3.6,198,594,3,14709
4.3,300,600,2,14889
4.5,138,138,1,14891
4.2,124,372,3,15125
4.4,312,936,3,15136
