inspection_id,license_,violation_count,Management,Hygienic_Practices,Food_Preparation,Pests_Rodents,Utensils_Equipment,Physical_Facilities,Compliance,inspection_type,risk,results,aka_name,latitude,longitude,logistic_model_prediction,random_forest_prediction,binary_result
2320519,2002822,0,0,0,0,0,0,0,0,Complaint Re-Inspection,Risk 1 (High),Pass,SALAM RESTAURANT,41.96571902,-87.70853756,1,1,1
2320509,2694960,8,3,1,0,0,0,4,0,License Re-Inspection,Risk 1 (High),Fail,TAQUERIA EL DORADO,41.96881972,-87.6822915,1,0,0
2320368,2215799,3,0,1,0,0,0,2,0,License,Risk 1 (High),Pass,GADS HILL CHILD CARE CENTER,41.86227323,-87.69270319,1,1,1
2320374,1909364,5,1,0,0,1,1,1,1,Complaint Re-Inspection,Risk 2 (Medium),Fail,DUNKIN DONUTS/BASKIN ROBBINS,41.76687145,-87.72231684,0,0,0
2320419,2689437,4,0,0,1,2,0,1,0,License,Risk 3 (Low),Fail,FULLERTON DOLLAR PLUS,41.92399089,-87.75651914,0,0,0
2320407,1985220,1,0,0,0,0,0,1,0,Canvass Re-Inspection,Risk 1 (High),Pass,RHYME OR REASON,41.90331444,-87.67641672,1,1,1
2320414,2215757,0,0,0,0,0,0,0,0,License,Risk 1 (High),Pass,HOPE CHILD DEVELOPMENT CENTER,41.89667962,-87.77249926,1,1,1
2320367,23562,6,1,1,1,0,0,2,0,Canvass Re-Inspection,Risk 1 (High),Pass w/ Conditions,HEALTHCARE ALTERNATIVE SYSTEMS,41.91707339,-87.70193044,1,1,1
2320370,2215988,3,0,2,0,1,0,0,0,License Re-Inspection,Risk 1 (High),Fail,GRANNY'S DAYCARE CENTER,41.67786259,-87.62740101,1,0,0
2320377,2665084,8,3,1,0,0,1,3,0,License,Risk 1 (High),Pass w/ Conditions,PHODEGA,41.91021895,-87.66753454,1,0,1
2320440,2698301,3,0,0,0,0,1,2,0,License,Risk 1 (High),Pass,EGG HARBOR CAFE,41.89108594,-87.62170381,1,1,1
2320441,2215555,2,0,0,0,0,0,2,0,Canvass,Risk 1 (High),Pass,LITTLE LEARNERS DAYCARE,41.77811757,-87.76891206,1,1,1
2320389,2215965,3,0,0,0,0,0,3,0,License,Risk 1 (High),Pass,"ALL THINGS ARE POSSIBLE FOR KIDS, INC.",41.89546789,-87.72666481,1,1,1
2320364,15956,0,0,0,0,0,0,0,0,Complaint Re-Inspection,Risk 1 (High),Pass,FIREWATER SALOON MOUNT GREENWOOD,41.69140619,-87.71830608,1,1,1
2320423,1198178,7,3,1,0,1,0,2,0,Canvass Re-Inspection,Risk 1 (High),Pass w/ Conditions,FLOYD'S PUB,41.91745857,-87.68510264,1,1,1
2320430,2694477,5,2,0,0,0,1,2,0,License Re-Inspection,Risk 1 (High),Pass w/ Conditions,LAO PENG YOU,41.8960047,-87.6779379,1,1,1
2320384,2363029,10,3,0,1,0,3,2,1,Recent Inspection,Risk 1 (High),Pass w/ Conditions,ARBOR,41.93202492,-87.69216904,0,0,1
2320388,2678198,1,0,0,0,0,0,1,0,License,Risk 2 (Medium),Fail,BOMBASTIC CAFE,41.94988265,-87.66424178,1,1,0
2320421,2698310,0,0,0,0,0,0,0,0,License,Risk 1 (High),Not Ready,THE NEW GRACE RESTAURANT,41.96210413,-87.65520383,0,0,3
2320443,2694525,0,0,0,0,0,0,0,0,License Re-Inspection,Risk 3 (Low),Pass,JORDAN DISCOUNT,41.88045497,-87.75728977,1,1,1
2320447,2464263,9,3,0,1,0,2,2,0,Complaint,Risk 1 (High),Pass w/ Conditions,BIG & LITTLE'S RESTAURANT,41.92487124,-87.70243666,1,1,1
2320406,20841,12,1,0,2,1,3,4,0,Canvass Re-Inspection,Risk 1 (High),Pass w/ Conditions,NORTHSIDE BAR AND GRILL,41.91151627,-87.6773407,1,1,1
2320395,11172,8,0,1,2,0,2,3,0,Canvass,Risk 1 (High),Fail,MAX'S TAKE OUT,41.87960813,-87.62699911,1,1,0
2320410,2437144,14,4,2,1,0,4,2,0,Canvass,Risk 1 (High),Pass w/ Conditions,FURIOUS SPOON,41.92491617,-87.70086166,1,1,1
2320442,2517136,4,0,1,1,0,0,2,0,Canvass,Risk 1 (High),Pass,CHOI'S CHINESE RESTAURANT,41.92967022,-87.70862407,1,1,1
