license_,aka_name,latitude,longitude,avg_violations,times_inspected,binary_results,model_prediction,logistic_model_prediction
2677227,NECESSARY & SUFFICIENT COFFEE,41.92835153,-87.7180971,4,3,1,0,0
2670530,SKY DINE 311,41.87779165,-87.63652434,0,2,1,0,0
2333622,I-CAFE SUKUR'S PLACE,41.95431818,-87.67476032,11,2,1,0,0
1140128,MCDONALD'S  (T3 HK FOOD COURT),42.0085364,-87.91442844,5,3,1,0,0
2665419,CONVENE,41.87988544,-87.62921159,0,1,1,0,0
2684666,ALEXANDER'S,41.99439118,-87.67029582,7.5,2,1,0,0
2600832,T&T'S RED HOTS,41.88184591,-87.72585415,0,1,1,0,0
2683667,PACINOS,,,7.5,2,1,0,0
2683668,PACINOS,,,0,2,1,0,0
2564709,KING GYROS,41.75061951,-87.6344093,16,1,2,1,1
2627322,"OFRENDA, INC.",41.84361888,-87.67547236,7,1,1,0,0
2569868,HUARACHES & QUESADILLAS MAMA QUINA,41.80061942,-87.71045585,3,1,1,0,0
2657753,#1 DELI,41.76886619,-87.63709546,3,1,1,0,0
2608331,SMOOTHIE JOINT,41.94457106,-87.65378324,9,1,2,0,0
2516680,THE LEARNING EXPERIENCE,41.9902049,-87.73177134,1,1,2,0,0
2677669,OPUS,41.87942967,-87.62527091,9,3,1,2,2
22761,Clissold,41.69305404,-87.6808619,2,1,2,0,0
2569420,EL ROJO GUSANO II,41.9584248,-87.67374278,17,2,1,0,0
2684666,ALEXANDER'S,41.99439118,-87.67029582,7.5,2,2,1,1
2022125,"COYOTES RESTAURANT, INC.",41.85773127,-87.66335578,7,1,1,0,0
23081,Edwards main and annex building,41.80552325,-87.72581893,5,1,1,0,0
13976,ALDI INC #64,41.91334247,-87.68182248,7.666666667,3,2,0,0
2689697,BOLIVAR Y LINCOLN VENEZUELAN,41.94319768,-87.65405955,5.5,2,1,0,0
2289529,SALSITA,41.94933813,-87.64969635,5.5,2,2,2,1
23971,KELLOGG ELEMENTARY SCHOOL,41.72525315,-87.67719555,4,1,2,0,0
2683669,PACINOS,,,0,2,1,0,0
2215893,WHIZ KIDS NURSERY CENTER INC.,41.70711281,-87.63620425,1,1,1,0,0
2677672,OPUS,41.87942967,-87.62527091,0,2,1,0,0
2677671,OPUS,41.87942967,-87.62527091,0,2,1,0,0
1769881,DUNKIN DONUTS/BASKIN ROBBINS,41.78534019,-87.70317432,14,1,1,0,0
2364283,SUPER SUB AND GYROS 2 INC.,41.77911845,-87.68575152,7,1,1,0,0
2689806,ROOTS HANDMADE PIZZA - SECOND CITY/UTOPIAN TAILGAT,41.91149437,-87.6348681,0,1,1,1,1
3096670,KIPP CHARTER ELEMENTARY,41.89148297,-87.74659826,0.5,2,1,1,1
2663728,"I'M HUNGRY NOW!!, LLC",41.73592705,-87.64616369,5.5,2,2,1,1
2496153,PIZZERIA BRANDI,41.83574906,-87.66584167,4,1,1,0,0
22801,COOK ELEMENTARY SCHOOL,41.74526284,-87.6598119,4,1,2,0,0
26651,MAHALIA JACKSON ELEMENTARY SCHOOL,41.73409818,-87.64675679,3.5,2,1,1,1
2689420,OROMO CAFE BUCKTOWN,41.9161857,-87.68752369,6,2,2,0,0
1516376,TARGET,41.93083392,-87.78913379,3.333333333,3,1,2,1
68487,KITSCH'N ON ROSCOE,41.94310456,-87.67867885,6,2,1,1,1
2689695,FOXGLOVE COFFEE,41.8538683,-87.67821915,1.5,2,1,0,0
1247262,TAVERN ON LITTLEFORT,41.95677163,-87.68075734,6.5,2,1,0,0
1648670,PANERA BREAD #1004,41.87517906,-87.62747379,2,1,2,1,1
